ID                       FIRST NAME               LAST NAME                DESTINATION              AIRPORT ARRIVAL          DESTINATION ARRIVAL      CLASS
15055SHBVO7078505G       PHOEBE                   SIMMONS                  BASEL                    0                        850                      B
Q7B52L6844405            IRENE                    STARK                    FRANKFURT                0                        188                      B
0GL97IF110839744R        SARAH                    DURANT                   CAIRO                    0                        19                       B
8P7711765349G            CLAIRE                   MURDOCK                  NICE                     0                        371                      B
69G858E00B04098C9        HANNIBAL                 MAY                      HAMBURG                  0                        867                      B
581274G723QM2960P3       BARRY                    STORM                    KIEV                     0                        1060                     B
933N034XL0N6P            SARAH                    CARTER                   BELIGRADE                0                        1235                     B
5LN9988B97797IH312       CATHERINE                CASTLE                   MONTEVIDEO               0                        927                      B
4D865O883590P2X7X0       STEVEN                   CAGE                     RECIFE                   0                        20                       B
6O23928M4490L            LANA                     HADLEY                   MALTA                    0                        1415                     B
077128F491467B5          PEGGY                    KANE                     KEFALONIA                0                        1237                     B
874438S188R092E          EMMA                     RODGERS                  ANKARA                   0                        673                      B
CM701S15M524912N02       LORNA                    SMOAK                    NAPOLI                   0                        269                      B
94696010G911K4EUT7       JAMES                    XAVIER                   LEIPZIG                  0                        1086                     B
0315U0E787T17            IRENE                    HALLER                   AMSTERDAM                0                        987                      B
2J0059W28S6955           CHANDRA                  HOUSE                    PRAGUE                   0                        264                      B
559234568482074D12       GRACE                    ALLEN                    BERN                     0                        1102                     B
TH16335461404019         ALFRED                   SINCLAIR                 HAVANA                   0                        682                      B
7R90KS7QJZE516089        LOIS                     MORGAN                   SARAJEVO                 0                        243                      B
8968U3F457W2I78Q9        THOMAS                   BUFFAY                   MALAGA                   0                        846                      B
9B331363K0X26            MIRANDA                  BLOOM                    LARNACA                  0                        1013                     B
15T0053F93CT2            GAVIN                    BLOOM                    LAGOS                    0                        729                      B
1117F877Z1020N1          PHIL                     FORD                     MOSCOW                   0                        131                      B
174Z312O430223R7         CHANDLER                 JONES                    BRUSSELS                 0                        176                      B
419F9532W95R2M           TEDDY                    QUINN                    MALAGA                   0                        1161                     B
0A89906663728            FRANK                    KEAN                     PRAGUE                   0                        77                       B
5J4340M1FNFF0V8KO9       NAZIR                    OSWALD                   VOLOS                    0                        473                      B
0G208A125FTO172553       PHOEBE                   CRIMSON                  PHOENIX                  0                        1370                     B
946X5HS95YH419Y4         LISA                     MAYFIELD                 MONACO                   0                        21                       B
7G2T2KQ60985G208C        GREGORY                  MOSS                     THESSALONIKI             0                        316                      B
96886F71D72018601        EMMA                     SIMMONS                  MILAN                    0                        1123                     B
G2YU68631905O059         BETH                     KEAN                     ALEXANDROUPOLI           0                        113                      B
SX3778K6S97536UO         ERIC                     TANCERDI                 LARNACA                  0                        468                      B
Z75413NW874K18           REED                     DENT                     KALAMATA                 0                        330                      B
7XC4GZ0JB7P1351          BRUCE                    CUDDY                    GLASGOW                  0                        916                      B
MU66Y25E84W8048          ROSE                     ALDERSON                 MALAGA                   0                        790                      B
905121I8040HL8V490       CATHERINE                MAY                      CARACAS                  0                        209                      B
892R59P3081N87F          SUSAN                    SULLIVAN                 ALEXANDROUPOLI           0                        571                      B
887X6509KX6238           ALFRED                   BELSON                   BERLIN                   0                        179                      B
016L357PJL61A6W9         CHANDLER                 TYLER                    FLORENCE                 0                        1162                     B
1KWUD90503277            ROBERT                   MORGAN                   BOLOGNA                  0                        980                      B
1428L591567G61L9         RICHARD                  PENNYWORTH               JOHANNESBURG             0                        800                      B
45X07QQ955790            CHLOE                    FLOOD                    KIEV                     0                        1286                     B
242W18657Q823            FRANK                    RICHARDS                 RECIFE                   0                        1114                     B
GK5P58FT35O835469        IRENE                    KHAN                     CAIRO                    0                        1005                     B
419I288552080506ZC       PHIL                     CARTER                   BUCHAREST                0                        218                      B
794876N33M49Q596         ALFRED                   MOSS                     SOFIA                    0                        274                      B
041V9492613850XR         MOLLY                    TRIBBIANI                BREMEN                   0                        1247                     B
C3426L0H7D20G            JAMES                    CRIMSON                  DUBLIN                   0                        1407                     B
786044C6753272250        ELLIOT                   SCOFIELD                 PRAGUE                   0                        656                      B
61U6P2252311760          CERSEI                   LANNISTER                RECIFE                   0                        526                      B
6279505Q27027790         CERSEI                   LANCE                    CARACAS                  0                        1223                     B
9S4X5310Y831B684D        MOLLY                    BLOOM                    LARNACA                  0                        1292                     B
1397R8HW7MP72            STEVE                    LANG                     SAMOS                    0                        591                      B
885V12517091335          FELICITY                 CRIMSON                  ALEXANDROUPOLI           0                        476                      B
9Z1A4606F2SJ090Z         ALLISON                  CAMERON                  BELIGRADE                0                        1002                     B
509V41458900849L2        BRUCE                    BUFFAY                   BILBAO                   0                        873                      B
T3M112432D2Z4R           STEVE                    BANNER                   ANKARA                   0                        990                      B
8494G03P406V8O318G       PHOEBE                   DARKHOLME                NICE                     0                        436                      B
Q827090X2L3137           ALLISON                  CUDDY                    SYDNEY                   0                        505                      B
9A794729J24673           BRUCE                    MILLAY                   OTTAWA                   0                        1070                     B
44039704267L0            NAZIR                    HADLEY                   SARAJEVO                 0                        826                      B
475F53J69302H02K6C       OLIVER                   ADLER                    PERTH                    0                        876                      B
T55J503D784T2414         CHLOE                    LECTER                   BOSTON                   0                        714                      B
2XS4F37PL12192P          SELINA                   DENT                     ANKARA                   0                        296                      B
6039519WS6F6O            CHLOE                    SNOW                     KIEV                     0                        1316                     B
Y8431227K412DFR          LANA                     MAYFIELD                 BERN                     0                        1074                     B
C3631027E2GCYH2          MARY                     STARK                    MYTILENE                 0                        980                      B
I5080U0CH332B            BRUCE                    LANE                     LAGOS                    0                        1278                     B
102W73V204546            SHERLOCK                 ABERNATHY                BELIGRADE                0                        964                      B
6WP51789C76K8109         JOEY                     ALDERSON                 GUATEMALA                0                        814                      B
NOO25607S041MG           MARIE                    ABERNATHY                MILAN                    0                        1015                     B
V9154E91E5022W45G        AMY                      FORD                     NEWCASTLE                0                        260                      B
8909945K5731UE           LISA                     FORD                     KIEV                     0                        173                      B
3K642W43B2008            RACHEL                   GREEN                    COPEGHAGEN               0                        891                      B
758UDN624R3AU24          MONICCA                  MORGAN                   ALEXANDRIA               0                        680                      B
7A8G2L6KQV173Y2V2        REED                     LECTER                   LISBON                   0                        570                      B
282K7NQ01Y29K            HARVEY                   SMOAK                    LEMNOS                   0                        807                      B
E70Z87O6V328632P1        FLOYD                    QUINN                    MONTEVIDEO               0                        834                      B
IGRB3Y472WB152521        JAMES                    STARK                    LYON                     0                        1419                     B
11363W82U03L922M1        LISA                     BUSKER                   CHANIA                   0                        538                      B
Z2537L2980Y86Z4679       LAURIE                   MORGAN                   JOHANNESBURG             0                        1030                     B
35710387Z7B22X80         PETER                    WHEELER                  MANCHESTER               0                        1164                     B
K98368OUXIR918           MATTHEW                  BURROWS                  PHOENIX                  0                        905                      B
392474Y138JA9            HARVEY                   PARKER                   WARSAW                   0                        1129                     B
86E74252G7409FM2         GRACE                    JOHNSON                  COPEGHAGEN               0                        632                      B
416E152M3616SX945A       ERIC                     SMITH                    NEWCASTLE                0                        472                      B
9358N8D2896G1A           STEVEN                   FOREMAN                  BERLIN                   0                        838                      B
T1M33120L704C259A        OLIVER                   ALLEN                    VOLOS                    0                        765                      B
3702U283B3A4E            DOLORES                  BURGESS                  MILAN                    0                        1420                     B
N13057769XH774S0         HARVEY                   SHELBY                   BRUSSELS                 0                        1394                     B
400C613971692            GAVIN                    CAGE                     FRANKFURT                0                        1214                     B
21NGZ8D298925            ALANA                    SINCLAIR                 MALAGA                   0                        870                      B
120G585NNH9R62           IRENE                    STORM                    MANCHESTER               0                        915                      B
S742F03M66328T           BRUCE                    DENT                     MILAN                    0                        1268                     B
Z3LP3C9351W158           BERNARD                  RICHARDS                 CAIRO                    0                        432                      B
9V24U4S3U20786R          ERIC                     HOOPER                   CAIRO                    0                        224                      B
LFP11JV712898            PEGGY                    PENNYWORTH               BREMEN                   0                        1332                     B
866Q183862V3505D         MELANIE                  DURANT                   GUATEMALA                0                        1263                     B
3P28033154376221         CLARA                    SCHRADER                 MOSCOW                   0                        498                      B
9A58L17Y30VG09           CHANDLER                 BARRET                   SARAJEVO                 0                        287                      B
70993JW320OHV8           RICK                     CASTLE                   PERTH                    0                        1315                     B
640S14I0D486174219       STEVE                    RODGERS                  SEVILLE                  0                        1304                     B
52112K632NS4Z17          JEMMA                    SULLIVAN                 NICOSIA                  0                        1330                     B
FJ53T4YB7HQU365X6V       STEVE                    PARKER                   MYTILENE                 0                        655                      B
2117C71879425565         JAMES                    BLOOM                    BELIGRADE                0                        922                      B
5A067607459P53W9         LISA                     HENDRICKS                VALENCIA                 0                        1039                     B
6KFW133228936104         RITA                     DANE                     PATRAS                   0                        1257                     B
3O6W8OIS1YV1W364         NANCY                    BANNER                   GLASGOW                  0                        1237                     B
2Q7YC16746S1695OG        TEDDY                    UNDERWOOD                BASEL                    0                        748                      B
263Y66I3XX98105          MAX                      ORGANA                   LEIPZIG                  0                        706                      B
106U25195P3I0M30         EMMA                     FOREMAN                  VOLOS                    0                        379                      B
II031T0209QJ10           GAVIN                    GREEN                    KEFALONIA                0                        936                      B
FH008M3660Y79M2Q         SUSAN                    CAGE                     WARSAW                   0                        963                      B
07KL0445Q943A8642Z       LAURIE                   CARTER                   PERTH                    0                        1399                     B
216XL2656Z4W41DRD1       COURTNEY                 SINCLAIR                 HAMBURG                  0                        542                      B
X6284W1868MH15987        LUKE                     PARKER                   BOSTON                   0                        165                      B
E5F97C6G2V6LHW           LORNA                    UNDERWOOD                MANCHESTER               0                        722                      B
Y063R53602N10857         WALTER                   CARTER                   SEVILLE                  0                        223                      B
4108W15NF0V63            LAUREL                   CARTER                   PARIS                    0                        1185                     B
KP29504815CC5942         HANNAH                   STARK                    BERN                     0                        895                      B
62D3750F23A70            LEIA                     BUSKER                   TORONTO                  0                        397                      B
52V800310058101689       RAVEN                    CRIMSON                  WASHIGTON                0                        365                      B
031X683V064F8            LAUREL                   WELLICK                  BERLIN                   0                        783                      B
806586F738487Q6795       LUKE                     LANE                     BANGKOK                  0                        1256                     B
Z551968861Z0AL97         LISA                     QUINN                    ALEXANDRIA               0                        286                      B
8028972YL9DB46           ALLISON                  FORD                     MANCHESTER               0                        1358                     B
3XU6025392KP005          RICHARD                  DARKHOLME                NEWCASTLE                0                        1006                     B
44281T769UP822784        SARAH                    ALLEN                    ZANTE                    0                        433                      B
V6R1577883Y96909A        FRANK                    MAYFIELD                 MARSEILLE                0                        428                      B
3T9F810T9U932605         JEMMA                    SINCLAIR                 BOLOGNA                  0                        1182                     B
754P27161422M            LAUREL                   COULSON                  MUNICH                   0                        1436                     B
6183Z20576U15S649P       JOYCE                    HENDRICKS                FRANKFURT                0                        659                      B
Y034035RN936N4           MELINDA                  ALDERSON                 MANCHESTER               0                        906                      B
6X2Q7221D3265UNA         GAVIN                    BLOOM                    MALTA                    0                        1304                     B
AK7177E91231358H8        JOEY                     MOSS                     BASEL                    0                        49                       B
Y407OQ8UQ6QDQ1VDT        WALTER                   WATSON                   BUDAPEST                 0                        269                      B
584965879O4W7EKJT5       REED                     KAPOOR                   BIRMINGHAM               0                        748                      B
18DD1E20KT8W7G           PHOEBE                   BLOOM                    IOANNINA                 0                        946                      B
983G7681A439563          JEMMA                    SULLIVAN                 CHANIA                   0                        355                      B
V6F603L09V9L8R82A        DOLORES                  BLOOM                    ATLANTA                  0                        7                        B
8N791245S112716Z0        BARBARA                  BREAM                    CASABLANCA               0                        39                       B
40Q95P11N0693M370        PHOEBE                   KEAN                     PHOENIX                  0                        881                      B
2CM0888BN27058PA0C       ERIC                     GRAHAM                   MELBOURNE                0                        1126                     B
836320189953F82Q5B       PETER                    JENSEN                   MUNICH                   0                        1371                     B
65188XQ9B9G4S354         WALTER                   CORLEONNE                MARSEILLE                0                        792                      B
01615Q72C4961            DOLORES                  POND                     HAMBURG                  0                        200                      B
6C675BD9U3086            PETER                    WANE                     BERN                     0                        918                      B
44753326VDJ93            LENNY                    BING                     BASEL                    0                        19                       B
99Y084N85YK23052         JEAN                     QUINN                    GUATEMALA                0                        301                      B
